SELECT ?v0 ?v1 ?v2 WHERE {	?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?v1 .	?v0 <http://schema.org/text> ?v2 .	<http://db.uwaterloo.ca/~galuc/wsdbm/User1955> <http://db.uwaterloo.ca/~galuc/wsdbm/likes> ?v0 .}
v0,v1,v2
SELECT ?v0 ?v1 ?v2 WHERE {	?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?v1 .	?v0 <http://schema.org/text> ?v2 .	<http://db.uwaterloo.ca/~galuc/wsdbm/User4281> <http://db.uwaterloo.ca/~galuc/wsdbm/likes> ?v0 .}
v0,v1,v2
SELECT ?v0 ?v1 ?v2 WHERE {	?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?v1 .	?v0 <http://schema.org/text> ?v2 .	<http://db.uwaterloo.ca/~galuc/wsdbm/User4065> <http://db.uwaterloo.ca/~galuc/wsdbm/likes> ?v0 .}
v0,v1,v2
SELECT ?v0 ?v1 ?v2 WHERE {	?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?v1 .	?v0 <http://schema.org/text> ?v2 .	<http://db.uwaterloo.ca/~galuc/wsdbm/User4964> <http://db.uwaterloo.ca/~galuc/wsdbm/likes> ?v0 .}
v0,v1,v2
http://db.uwaterloo.ca/~galuc/wsdbm/Product703,http://db.uwaterloo.ca/~galuc/wsdbm/ProductCategory8,horseradish scenery mete underhand turtledove's sateen Squibb's sandbags Copperfield's tentacles wasp Pearl Namibia fictions roared Page's
SELECT ?v0 ?v1 ?v2 WHERE {	?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?v1 .	?v0 <http://schema.org/text> ?v2 .	<http://db.uwaterloo.ca/~galuc/wsdbm/User2877> <http://db.uwaterloo.ca/~galuc/wsdbm/likes> ?v0 .}
v0,v1,v2
SELECT ?v0 ?v1 ?v2 WHERE {	?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?v1 .	?v0 <http://schema.org/text> ?v2 .	<http://db.uwaterloo.ca/~galuc/wsdbm/User189> <http://db.uwaterloo.ca/~galuc/wsdbm/likes> ?v0 .}
v0,v1,v2
